sentiment,TweetText
"neutral","Google and Samsung unveil Galaxy Nexus Android at event CTIA Hong Kong conference environments"
"neutral","Microsoft We support you Retweet if u support us or want to"
"irrelevant","que tengas twitter no significa que sabes que es tweetear xD"
"irrelevant","Parabens google gostei bastante do novo Android android"
"irrelevant","Osea jajaja me entero que ahora en el Twitter se blokea gente mis supuestros primos me blokearon Lol"
"neutral","Pearson and Google take advantage of the profound lack of LMS PD with their new offering Also do not do reporting"
"irrelevant","Por cierto Apple me sigue gustando mas MobileMe que iCloud La sincronizacin de mis ordenadores la gestin de carpetas nada que ver"
"negative","Having major battery drain issue since updating iPhone to iOS Anyone else AppStore iPhone apple"
"neutral","Shout ou to all my followers TWitTER"
"positive","android Ice Cream Sandwich will now make all other smartphone operating systems look outdated Androidbeam Wowww google"
"irrelevant","Techno Microsoft lanza sitio oficial de Skype"
"irrelevant","twitter sos un vicioooooo"
"positive","brilliant WebGL Bookcase google"
"irrelevant","querida apple at quando o steve vai ficar na sua pagina inicial"
"negative","ryanbaldwin apple So in iTunes I go Store gt Authorise why doesnt it just autoauthorise it when I sign into iTunes Grrrr"
"positive","jowyang its difficult to pass up google considering the social seo benefits of google vs facebook"
"neutral","coatgal had a really interestng experience up in the Apple store though Paul was with me up there faulty iphone but out of warranty"
"negative","MsTapoutBarbie Yep figured my shit is jacked Dammit Twitter"
"neutral","Get Microsoft certified now"
"irrelevant","mm por q casi nadie sabe utilizar TWITTER"
"negative","Dear Apple You must let me turn off iCloud to save bandwidth and NOT delete EVERY document on my iPad Thats BULLSHIT"
"neutral","Why Apple so valuable good analysis of trended profits iOS vs Microsoft Comparing the bottom lines via asymco"
"irrelevant","Microsoft dir che Google ha usato il brevetto dellanimazione del cerchio Google Presentations New Version"
"irrelevant","Microsoft hat den Prototyp ihres OmniTouch vorgestellt Dieser macht fast jede Oberflche zum Touchscreen"
"neutral","Sucks that I just threw down for a panorama app when ICS will have it as standard Oh Google you pleasant bastards you"
"neutral","Update Google Officially calls Android Ice Cream Sandwich Shouts Android google ics android"
"irrelevant","Android Ice Cream Sandwich ya es oficial android google androidve tecnologia vendroid usoandroid"
"irrelevant","pensando seriamente em excluir meu twitter"
"neutral","RT GPJman Hello New Followers Reminder followers a Microsoft point Giveaway Xbox XBL XBLA MW COD RETWEET"
"irrelevant","Bij Microsoft zijn ze echt niet goed snik ik was blij dat mijn mobiel gejat werd omdat er windows op zat jaloezie"
"irrelevant","Google Apps Coming To Google Within Days Company Taking A Cautious Approach To APIs twitter"
"negative","apple is there a problem with iOS that is preventing audio apps and audio functions from operating properly I keep losing sound"
"irrelevant","diegomendesr popularizar o twitter Tipo ter seguidores isso"
"neutral","Introducing Android Ice Cream SandwichIntroducing Android Ice Cream Sandwich Google Android"
"negative","Hey apple now I have iOS my iPhone doesnt include songs that are on compilation albums under the artists name whaddupwitdat"
"positive","Blackberry Facebook U R really about to make me throw this Blackberry in the trash an get an Apple iPhone Facebook upload issues"
"neutral","Samsung Galaxy Nexus handson video android galaxynexus galaxynexus google"
"neutral","AndroidPolice Duly noted I hope AOSP is updated with ICS Android Google"
"neutral","Can someone explain to me how the hell iMessage differs from a text message Apple fb"
"irrelevant","maffkilleritta twitter se puso de nena y no me dejaba contestar"
"negative","Twitter Dead this is why im never on it now"
"neutral","SpeechTrans on Apple App store listed as the best bidirectional Speech To Speech Translator Posts on Twitter"
"negative","Wow worst apple customer service experience ever Arrogant and inept Bad combo Biltmore Apple store"
"positive","Mango shows Microsoft still has the taste for smartphone success wp mango"
"irrelevant","H bien ctait cool dattendre pour voir la confrence jai envie du nexus prime de google mnt et jouer avec ICM android"
"neutral","Reporting in Microsoft Dynamics AX"
"negative","Whats wrong with Siri today apple"
"neutral","Build once scale to many Microsoft allows creators to extend experiences to multiple touchpoints like xBox Windows Mobile ULforthewin"
"irrelevant","Tipp kostenlose SEOInfos google"
"irrelevant","Google Phil Hellmuth and Sam Farha poker fight Costfree Poker University with wikileaks"
"neutral","SEO tipin multilang sites create folders for each langsubmit the urls in google webmaster toolsUse GeographicTarget"
"neutral","Siri says some weird things This is my next via verge hasanga mohoisham apple Siri LMFAO"
"irrelevant","Microsoft Una pantalla tctil al alcance de tu mano"
"neutral","RT tiffanyk Infographic Google cost half a billion to build driving users to most followed user Mark Zuckerberg"
"irrelevant","BillGates llamado a declarar por un antiguo caso de monopolio contra Microsoft"
"neutral","Google Mobile Boss Andy Rubin on Apple Microsoft and Tablets techgadgets android"
"irrelevant","Fine tune your SEO strategy with the Google Panda update Find out how it can affect your business rankings"
"neutral","Microsoft excludes tablets from its holiday advertising push Fresh details of Microsofts"
"neutral","Annie has just had a look at our downloaded Windows op sys Where AppleMacs go Microsoft follows"
"neutral","The Great Tech War Of Tech Mobile Wireless Apple Google Microsoft"
"neutral","RT KumarSachi Another Gem from Microsoft Curate your personal history with Project Greenwich Available later this month http"
"neutral","How Google Ventures Chooses Which Startups Get Its Million via mashbusiness mashable"
"negative","Apple iOS gm on ipad is very slow wash better on beta solve this problem or give me the ipad"
"neutral","By pm For ECommerce Times Erika Morphy seeks experts re Microsoft Playful Learning proscons for kids"
"irrelevant","NahuNRobles jajaja fregues de TWITTER xD"
"neutral","Google To Begin Encrypting Searches Outbound Clicks By Default With SSL Search"
"irrelevant","jessnovelo el twitter Jajaja"
"positive","Hello twitter"
"neutral","Quit acting all hard Its only twitter"
"irrelevant","Der langsame Tod von SEO Google Suche fr eingeloggte User verschlsselt socialmedia marketing search seo"
"irrelevant","Use o Twitter Profissionalmente Dicas ECommerce e Renda Extra Twitter Blog Ecommerce Brasil Marketing"
"neutral","Microsoft Announces New Playful Learning Titles Wired News av"
"irrelevant","De acuerdo a la encuesta hecha por mi la mayora de mis amigos de Facebook no saben utilizar twitter xD QueMensos"
"irrelevant","Newt Gingrich NewtGingrich Newt Gingrich google youtube"
"irrelevant","Le GalaxyNexus fait bien envie Mais bizarrement a me gne quil y soit marqu Google au dos"
"negative","apple I committed to your cloud storage iDisk and now its raining so soon no more iDisk Any plans for a new service for storage"
"neutral","Microsoft CEO Looks Ahead at Social and Mobile Plans marketing"
"neutral","jpobrien or windows bridge for windows phones and dont try and pretend apple didnt steal the notification bar from google droidtweets"
"neutral","This coming from a guy who is Microsoft PC Mug pen everything RT GiuseppePietta Ngare both fail phoneswindows phone to the rescue"
"neutral","And my favorite is danielltosh gay Google autocomplete"
"irrelevant","Descuentos y offertas para applicaciones de apple mobil"
"positive","Cant wait for Ice Cream Sandwich android google"
"neutral","ManyToMany Control for Microsoft LightSwitch"
"positive","RT MNNOVA Love ios Easter eggs Pull down from middle top to bottom and see what pulls down Awesome little feature ios apple"
"positive","RT Assim Dear Google I want the Galaxy Nexus NOW Please send it to me by email or something I know you have the technology"
"irrelevant","RT alisalam"
"irrelevant","MicrosoftCEO verspricht schne WindowsPhoneGerte Apple sei erfolgreich weil schne Smartphones microsoft"
"irrelevant","Intgration de la reconnaissance vocale google nexusprime"
"irrelevant","julioeffio chriseffio yo juraba que te habian hackeado el Twitter TODO fue tan minipandi julioeffio love u"
"neutral","Infosys kicks off its cloud drive with Microsoft partnership"
"neutral","RT extremejohn Stuck on Facebook Im so sorry Twitter Google Facebook"
"irrelevant","Un vistazo a Windows Server Microsoft"
"irrelevant","Android NFC Android Beam Palm Beam Google Samsung Galaxy Nexus"
"neutral","Google To Begin Encrypting Searches Outbound Clicks By Default With SSL Search"
"neutral","How I manage my businesseslife pivotaltracker signals twitter googleapps apple dropbox wordpress dreamhost THX"
"neutral","apple no Siri support for Canada sucks Siri but loving the new iPhone upgrade from my GS iphones"
"negative","apple to repair my iPad Apple youve lost me and my a year Android here I come"
"irrelevant","ileylittle welll figure it out tm in gym google"
"irrelevant","Mi pasatiempo favorito hoy en da es como ver hay personas bipolares tanto en Twitter como en la vida real"
"neutral","You are welcome to join our LIVE free webinar right now Its about Citrix monitoring through Microsoft SCOM"
"positive","RT eboyee Dostupan SDK WOW RESPECT Google IceCreamSandwich"
"irrelevant","RT rianru Google Android"
"neutral","Win an Apple iPod Touch from Mommygaga get the Pampers Hello World Baby Memories App PampersHelloApps"
"negative","apple apple One thing I hater about this mouse the buttery finish so fast am not happy now macworld macworld"
"irrelevant","o jcsantosf sumiuuuuuuuuuuuuuuu D TWITTER kkkkkk apareceu nmsn saudadeeees"
"positive","twitter just helped me find the song from the end of a TV show i just watched Twitter gt"
"irrelevant","Dmo cration dun cluster par GaelDuhamel VAD Microsoft VisualStudio DataMining"
"positive","Just registered as an apple developer Heres hoping I can actually do it Any help greatly appreciated"
"neutral","Win an Apple iPod Touch from Mommygaga get the Pampers Hello World Baby Memories App PampersHelloApps Ends"
"neutral","Microsoft CEO Steve Ballmer confirms Nokia Windows Phone devices due next week Microsoft Nokia"
"neutral","JenWeedin listen here ShaunaWalters is new to twitter and needs practice support her here brat goodsamaritanswag"
"irrelevant","mafferrdz si de heco igual a mi ya casi no me gusa de hecho siempre lo primero qe habro es Twitter es mas facil qe me contacten aqi jeje"
"irrelevant","Publicidad Galaxy Nexus es la prxima generacin de dispositivos Nexus codesarrollado por Samsung y Google l"
"irrelevant","Jetzt gerade angeschaut und t adwords guide google adwords guide"
"negative","What I that sucks hello apple RT PhoneDogAaron Interesting note DROID RAZRs battery isnt removable"
"irrelevant","Tenia qe comentar en Twitter el concierto de caifanes poca modre yeah"
"irrelevant","lorenbsas telerinonline VeroTurismo elisafn arielmun matchpoint ah si ya es hora pero Twitter me tienta tanto me encanta"
"positive","Maybe not the most efficient way to browse but fun Google releases an Infinite Digital Bookcase by MeghanKel"
"irrelevant","A espera acabou Samsung parceria com o Google o novo GalaxyNexus nesta terafeira em HongKong O Android Ice Cream Sandwich"
"neutral","now watching live stream of Google new mobile Nexus"
"neutral","Microsoft Cloud GSA Loses Billion Cloud Contract Fight Google recently dropped a case against the D TCN"
"neutral","This New Microsoft Technology Turns Anything Into A Touchscreen MSFT apple microsoft"
"neutral","does anyone else get the milky white film of business with Visual Studio vs microsoft"
"neutral","Increase your twitter followers and or your fan count via"
"neutral","Dear apple as a hohdeaf user can you please add options for stronger and longer vibrate for iphones Thank you hoh deaf ally"
"irrelevant","AsiaClassifiedToday SE Asia and Singapore lead Asia Pacific region in business travel Forimmedi asia google"
"negative","As a huge podcast fan I really feel like Apple dropped the ball on this one via Carrypad"
"positive","We did an unexpected workshop for the iPhoneS at apple yesterday and we got an awesome amount of info notjustaboutthephone gamerchik"
"neutral","A New Landscape for Retail Banking New report from Efma with Microsoft"
"neutral","Microsoft turns your body into a touchscreen Microsoft"
"irrelevant","So viel zum Thema Retina Display D Respekt an Google und Samsung Super Amoled HD in x auf einem Phone ist krass D GalaxyNexus"
"irrelevant","RT Jadishmedia La ltima campaa de Microsoft es una sopa boba que vende todo y nada a la vez marketing microsoft"
"irrelevant","google"
"irrelevant","RT juank Nueva Consola Xbox en curso LinkedIn Microsoft Xbox Xbox Twitter via ZthaeDigital"
"neutral","csg Hopefully you check twitter often enough to find this article D google ICS"
"negative","Youtube video views are still not updating properly google youtube fail"
"neutral","MrRobinson hard for balms to get excited over Android phones because Microsoft isnt collecting enough royalties yet isaidit"
"irrelevant","TeamFollowBack TFB MustFollow MF FollowNow FN FollowFriday FF IFB Twitter Follow CocaColaKorea ThisIsDoyin"
"negative","WTF Microsoft sbs rww only works in IE browserwars"
"neutral","CLOUD NEWS Infosys boosts its cloud solution with Microsoft partnership Infosys cloud microsoft azure"
"neutral","RT neonness Yahoo Profit Drops Per Cent yahoo microsoft"
"irrelevant","Quin dijo crisis Apple ha vendido millones de unidades del iPhoneS en slo tres das"
"neutral","Get your Twitter marketing campaigns built by an SEO expert"
"positive","Loved the Google release of Android OS Ice Cream Sandwich Samsung Android Google IceCreamSandwich amazing"
"neutral","Kanye West has added you to his circles yeah right galaxynexus google ics"
"positive","Just apply for a job at Apple hope they call me lol"
"neutral","RT Collobrate and present New version of Google presentations VIA googledownunder google googlepresentations"
"neutral","I wanna RT a lot of tweets but my app wont work Whats the best Twitter App"
"negative","RT IAmDkT The only letdown of the Samsung Galaxy Nexus phone is the MP Camera ICS Samsung SamsungGalaxyNexus SGN Android Google"
"neutral","Google to stop giving referral data by moving to SSL"
"neutral","Thinking more I want Android to do an iMessage service for Google Apple to interconnect They would if the cared about their users"
"irrelevant","Rijk worden met patenten In de smartphonewereld lopen patentrechtszaken De grote winnaar lijkt Microsoft patent"
"negative","One would think the voice recognition on the apple tech support line would work a little better"
"neutral","On Google then go here GPlus Googleplus Google teamfollowback socialnetwork"
"negative","apple iOS has been nothing but a pain in the ass no room for my music Or photos Or apps Can I undo this garbage"
"irrelevant","Samsung Galaxy Nexus officieel aangekondigd door google en samsung"
"irrelevant","GuySie Heb je gisteren Tros Radar gezien over Apple Garantie werd niet nagekomen door Apple en devices zeer snel kapot"
"neutral","RT BatzayaB Google Android Ice Cream Sandwich photos"
"irrelevant","Ya ni en Twitter estoy a salvo"
"positive","ammmylewis Did CarsonFratus just ditch Twitter for sleep Weirdo TwittergtSleep"
"neutral","YESSS apple fix it also slow internet RT SprintFeed iPhone S owners are you having trouble with Siri connecting to internet"
"irrelevant","Steve Ballmer CEO de Microsoft Necesitas ser un cientfico para manejar Android Gracias majo Jajjajaa"
"positive","what i love about GOOGLE it always shows me that am not the only retarded person on this planet when am searching for stupid things D"
"neutral","nansen apple I have not heard of that Hubby had no problems I have not done it yet"
"irrelevant","Google to Support Pseudonyms google googlesocialmedia googleventures facebook twitter socialmediamarketing"
"neutral","Android Ice Cream Sandwich is out android Google"
"positive","From which companies do you experience the best customer service aside from zappos and apple"
"negative","Is Microsoft just another evil corporation Beware when it comes to buying a Windows PC"
"neutral","Tired of those spammy Twitter DMs twitter spam"
"negative","Apple eclipsed Microsoft"
"positive","Loving iOS awesome Apple"
"neutral","New post Microsoft Windows Home Premium Home Microsoft Premium"
"neutral","twitter thats wassup lol"
"neutral","RT CRMStrategies Great Tech War of FastCompany profiles Amazon Apple Google Facebook on CNBC ht phil"
"neutral","twitter off"
"neutral","Big mo In one week Apple iCloud hits M users M use iOS via cnet"
"neutral","Microsoft CEO says company got lucky when Yahoo deal fell apart microsoft steveballmer microsoft"
"irrelevant","Irgendwie dann doch enttuschend das neue Google Galaxy Nexus"
"neutral","I wonder if I was to get at a celebritys neck on twitter Will I be on the news or radio planForFame lmfao"
"neutral","Unwrapping Ice Cream Sandwich on the Galaxy Nexus Google"
"positive","Not impressed much with the new Android update But good signs a readable font emphasis on design and less nerdiness google"
"negative","Twitter Side Affects include Procrastination No Sleep Unable to Focus on ANYTHING Subtweeting RT TT and Low Batteries"
"irrelevant","Non mais WTF RT Twikito Google passe en HTTPS un drame pour les statistiques analytics Google via Zorgloob"
"irrelevant","me acabo de dar cuenta q tengo mas seguidores en Twitter D gracias y espero q sigan sumandoo mas y mas D para seguir aun mas activo aki"
"irrelevant","CarlosTolosa jajaja buscalo en google y ve como esta jajaja"
"irrelevant","AsiaClassifiedToday YHOO Q Conf Call B Asian Assets B Market Cap Barrons bl asia google ads"
"neutral","google galaxy nexus I WANT A PHONE PLEASE TALK ABOUT OTHER FEATURES NOW THE CAMERA IS ONLY ONE PART"
"neutral","RT AccessNetworks Were waiting patiently for Google business pages Anyone else wanting to jump on board avtweeps google http"
"irrelevant","Abonnez vous TunisieNews et Suivez toute l actualit sur Twitter Tunisie TunisieNews News"
"irrelevant","AsiaClassifiedToday Parkway Novena Hospital to offer premier healthcare service in Asia The Bor asia google"
"neutral","Google Says ICS Is Coming To The Nexus S And Theoretically Should Work With Devices"
"positive","Good support fm Kevin apple Bellevue store biz customers TY"
"positive","RIM you made it too easy for me to switch to Apple iPhone See ya"
"neutral","Put your twitter on autopilot and let it gain followers for you TeamFollowBack Twitter autopilot aday"
"irrelevant","Bob Harper BobHarper Bob Harper google youtube"
"negative","I really hate that apple wont let you hide the Newsstand app or move it into a folder It serves no purpose for me"
"irrelevant","New mov apple store starringichiro REPEAT PATTERN moda"
"irrelevant","RT Yonopienso RT Anyelius RT Yonopienso RT Yvandavid Que lo mataron por Twitter ya RT Yonopienso Que le paso a OsmelxD"
"irrelevant","Google Google Event Ice Cream Sandwich Caschys Blog Widgets lassen sich jetzt auch unter XINGPro"
"neutral","RT jblank Microsoft Turns Your Body Into A Touchscreen PSFK via AddThis"
"positive","Loving the new iPod update apple"
"neutral","FastCompany The Great Tech War Of Apple Facebook Google and Amazon duking it out via ADerricks"
"neutral","How to use search folders to organise your emails in Microsoft Outlook"
"neutral","Couldnt help it explored the iphones apple store talked to Siri Shouldve tried to speak to her in French nexttime"
"neutral","macbreak weekly TWiT via apple airplay in full HD on the finally leolaporte Ihnatko alexlindsay"
"irrelevant","Una video intervista con la Microsoft per il protagonista dellinnovazione sei tu"
"positive","Googles IceCreamSandwich was revealed Im getting an Android whenever I get a new phone but Im keeping my iPhone for now"
"irrelevant","RT MizzSpicey TeamFollowBack TFB MustFollow MF FollowNow FN FollowFriday FF IFB Twitter Follow OnlyDeejayER ltlt oooh"
"positive","RT ThatTechGuy LITERALLY HAD MY MIND BLOWN AWAY JUST NOW Google Samsung"
"irrelevant","Sigue ah KhrizJoohn con su nueva cuenta en Twitter"
"neutral","Cool Infographic Perks working for the big techs like Google Facebook"
"irrelevant","Porra mo cara que nao entro no TWITTER mais um Salve pra vcs e amanha tem mais flllws pra quem fika bora laah pra quem vai ksoaksopk"
"neutral","How do you get pink eye Google autocomplete"
"irrelevant","Verzoek aan apple voor iphone koppel agenda aan bellen Zo kun je in afspraak opgeslagen telnummer meteen aantikken en bellen thnx"
"neutral","Google Docs Updates Presentations With RealTime Collaboration New Themes Transitions and More Updates"
"positive","alexlindsay My wife upgraded her iPhone I think Siri alone is worth the upgrade Looking forward to Apple continuing to enhance Siri"
"negative","FUCK YOU apple DIE IN A FUCKING BLAZE INFERNO"
"negative","Life was much easier when apple and BlackBerry were just fruits"
"neutral","Tomorrow at SAPTechEd Bangalore SAP Microsoft Building Apps for Both Worlds w DuetEnterprise SAPGateway"
"positive","BrandonMiniman JaimeRivera Im an iOs user but the ICS is awesome great job google"
"neutral","Google and Samsung Reveals Galaxy Nexus Phone mobile software android mobiledevice"
"positive","RT ralphbin Microsoft Research shows Holodesk looks like science fiction but is science fact Cool but no sound"
"negative","You can make photo albums in the Photos app with iOS but cant password protect them Um apple fix that Quickly"
"neutral","Google announces NFCbased Android Beam for sharing between phones"
"irrelevant","Michael Jackson Quionez jugador de la Seleccin que est en los Panamericanos es TT tendencia mundial en Twitter"
"irrelevant","parado no twitter"
"irrelevant","RT twandroid Messagerie vocale directement dans ICS google nexusprime"
"irrelevant","Une seconde dmo pour Sonic Generations Bien que Sonic Generations ne soit plus trs loin Microsoft Xbox"
"irrelevant","Google ranked funniest FUNNY tshirts on the net Sushi BarExam lawschool lawyers SALE humor lawyers"
"positive","Dear Google I want the Galaxy Nexus NOW Please send it to me by email or something I know you have the technology"
"neutral","Rich Thank you my friend Much appreciated and keep up the great work I hope you clean house on Microsoft Rewards here Retail"
"neutral","Apple needs to take down the Steve Jobs tribute and get back to promoting the brand put the Cloud on the front page and start explaining"
"positive","bkad than apologize to apple"
"neutral","Noticed how apple has added the like tweet icons on their page like facebook tweet"
"neutral","GOODNITEE TWITTER"
"negative","Why is Siri always down apple"
"neutral","RT Charlielace Instead of updating your Twitter why dont you update your life"
"irrelevant","C seo linkbuilding backlinks addurl bookmarks google"
"neutral","Check this video out moe plays Live on iPads Video dedicated in memory of SteveJobs ipad mac apple brilliant"
"neutral","A ChildsEye View Of Microsofts Kinect For Kids via TechCrunch"
"irrelevant","Realmente no se por que ponen cosas de twitter en fb vv facebook es FB Y twitter es TWITTER Cmon vv"
"irrelevant","Mit einfachen Mittel gegen Facebook Google so die Strategie von Costolo CEO von Twitter SocialMedia"
"positive","Finally got my iPhone S thanks Apple Stupid att Learned my lesson"
"neutral","msantram I want apple to integrate Siri with Quora"
"irrelevant","Le Galaxy Nexus a lair bien sympa et ICS bien repens Reste voir les tests google android"
"negative","Smashed yet another iPhone screen When are apple gonna make the phone more durable Tired of fixing it myself"
"neutral","RT NeowinFeed Microsoft Stores offer up free Windows Phone devices microsoft microsoftstores neowin"
"neutral","RT XoRosibel HEY EVERYBODY THAT HAS A TWITTER FOLLOW ME NOWW AyeCassandra TeenSwagQuotess FcknJane autumntarbania AyooMari"
"neutral","Oomf dnt start dis sht on twitter"
"irrelevant","The ARM CortexA Processors pdf ebook google"
"neutral","Nokia Renders Revealed mobilenews android gingerbread microsoft nokia nokian"
"irrelevant","Regstrate para asistir este de noviembre al lanzamiento de Microsoft Dynamics AX"
"neutral","RT qmatteoq Leaving for smau Ill be at the Microsoft stand as a trainer for the wpdev labs Meet me there"
"irrelevant","Nouvelle application Contacts les connections Linkedin Twitter sont enfin intgres google nexusprime"
"neutral","mcp apple AppStore Why are you asking us Apple dont read messages on Twitter and Apple arent Apple either"
"neutral","HEUTE Microsoft Office Home Student Product Key Card User statt nur"
"irrelevant","Ich glaube ich habe mich gut auf die Prfung morgen vorbereitet Microsoft MCITP HyperV"
"neutral","Microsoft Search Idea Could Let You Search Like Miley"
"neutral","obsexxed got one of the dopest blogs on Twitter and TumblrRealTalk"
"neutral","I just told my apple S she was a stupid bitch and her reply was if you insist lol"
"neutral","twitter for those statuses youd never post on facebook"
"irrelevant","a mimir Nos leemos maanaa Twitter Off"
"neutral","Microsoft CEO says company got lucky when Yahoo deal fell apart microsoft steveballmer"
"neutral","Apple why no Macbook mirroring onto AppleTV via Airplay"
"neutral","Win an Apple iPod Touch from Mommygaga get the Pampers Hello World Baby Memories App PampersHelloApps"
"neutral","Not even the Durban rain can stop the part Prime Circle rocking Microsoft techedafrica"
"irrelevant","Android Beam Compartilhamentovia NFC icecreamsandwich galaxynexus google samsung"
"neutral","Steve Jobs unconventional leadership secret ACC SmartBrief gt Apple sm HR NEHRA"
"neutral","Microsoft and Nokia Announce suite of Microsoft Apps for Nokias Symbian Belle Platform WP WP"
"neutral","My twitter age is year days hour minutes seconds Find out yours at twittertime"
"neutral","AtlantaSnoop yea Ive seen my location waaaay off on google sites Not a big deal but still strange spookygoogle"
"irrelevant","nestorrom majeeee yo cuando reuna bastante pisto me voy a comprar los que usa davidguetta puuuuuta son tan vergones buscalos en google"
"irrelevant","RT NielsMoelard En daar gaan we weer pakt vergrootglas erbij zoeken naar die leuke nieuwe collega vacature"
"negative","apple give me my apps back"
"neutral","microsoft volume microsoft powerpoint procedural syntax GO with Microsoft PowerPoint Volume"
"neutral","GeeCloud Congratulations to Softline Pastel SageGroupZA for winning ISV of the Year at Microsoft partnersummit SoftlinePastel"
"positive","My tweet goes to twitter Thanks for providing me with another way of keeping me busy during school"
"neutral","New snom Webinar Nov Accelerate Microsoft Lync Deployments with snom UC Register here VARs phones"
"neutral","st public test release for the Roslyn project giving APIs to the C compiler and visual basic but microsoft"
"neutral","RT ChrisPirillo Tired of those spammy Twitter DMs twitter spam"
"irrelevant","Excelente Proximo cel RT GiulianoG Presentancin Android y Samsung Nexus Prime Google Se jodi iOS"
"irrelevant","Oja ik ben gelijk al mijn apps kwijt bedankt apple"
"neutral","Microsoft researchers want to turn your hand into a touchscreen Institute University accuracy applications"
"irrelevant","Microsoft Security Essential gt Microsoft"
"neutral","winnipegrt andkatmy Winnipeg needs better local news coverage tired of not being in the know Thanks twitter"
"neutral","Saw that apple is covered with msgs steve jobs Nice to kno ppl r still saying thankyousteve"
"irrelevant","Ice Cream Sandwich Android gepresenteerd via TabletGuideNL android tablet google"
"irrelevant","Cachando que markrussinovich aparte de ser un maestro geek tambin escribe novelas microsoft"
"neutral","Is Google planning to launch its own iTunes rival The Times of India google"
"neutral","I wishh twitter would tell me who retweets my stuff"
"irrelevant","putamadre hay gente que pasa todo el da poniendo sus problemas de amor cada minutos en FB consiganse una cuenta de twitter losers"
"neutral","Google releases new features for presentations in Google Docs Google is rolling out a s google googleplus"
"neutral","ICS putting people at the heart You have GOT to be joking Google Now even copying slogans Ah I get it THOSE are not patented"
"neutral","LOL google"
"irrelevant","NattaliaAlba mejor consulta ana y mia en google hahahha"
"positive","RT imightbewrong Im OVER people bitching about the iPhoneS I think its the smartest phone Ive ever had and Im very happy"
"neutral","seguridadparatodos is using Microsoft Security Essentials and you thx msftsecresponse Our analysis Spanish"
"negative","Microsoft just bought Skype officially So hows the future of Skype on any other devicesoperating systems"
"irrelevant","Bueno twitter OoF q paSen Buenas nOChe rubioCoTiZe Acuerdese ya tah buenOh haha xD"
"irrelevant","Para los que tenemos un GalaxySII no se preocupen est confirmado que tendremos Android en este GRANDIOSO terminal Google"
"negative","Oh how much do I loathe microsoft An hour to configure updates which it is then unable to do so another mins reverting changes"
"neutral","How to use Google Alerts to seo search google hack sem it business web marketing online yes hot winning"
"neutral","the marijuana loud so the hoes follow like Twitter"
"positive","twitter is jumpin as usual"
"neutral","Will Apples Mac ever properly be used in the financial markets or is it purely a creatives device Shift from IBM to Mac finpanther"
"neutral","Apples Siri is great but Google Android always had that functionality youtubegGbYVvUZs justsaying"
"neutral","CNET Microsoft OmniTouch allows multitouch input on arbitrary everyday surfaces via andretelles"
"neutral","apple karaoke ceel w nandamaulida putriasmara galuhoktriana milatus p"
"neutral","Ice Cream Sandwich to stop carriers bullying smartphone users google android"
"negative","theresamarosy haha k thought everybody knew Microsoft sucks"
"irrelevant","Microsoft lanza sitio oficial de Skype"
"irrelevant","chefreggie rolandsmartin Apple get ready Tampa Bay the Martins are coming to town Bring it on Buccaneers"
"neutral","Infosys Microsoft team up to offer cloud services"
"neutral","What to Consider When Migrating to Microsoft Exchange yousendit booth gartnersym"
"irrelevant","PartyLiveFree TWITTER FOLLOWERS FACEBOOK LIKES YOUTUBE VIEWS EMAIL BLASTS ETC getmorefacebookfanpagelikes"
"neutral","Personalfinance security startup BillGuard raises mn from KhoslaVentures Peter Thiels FoundersFund n Google"
"positive","Infinite Spiral Bookcase for Google Books looks amazing interested to see where it is headed"
"negative","Microsoft knows how to kick off an opening but I dont quite see the edge for Windows Phone or their tablets iSorry"
"irrelevant","RT laurentalbaret La recherche crypte sur Google tendue aux utilisateurs connects un service Google"
"neutral","Apple please put the Tab button back in Pages for iPad That hold my finger down wait for the insert tab then touch that for the tab SMH"
"neutral","Soooooo VerizonWireless All eyes on you When can we order Nexus Samsung Google ICS"
"neutral","RT danysaadia ATTCustomerCare att apple I already have an ATT wireless line Can I buy a factory unlocked iPhone S with my contract"
"neutral","California Governor JerryBrown declares today SteveJobsDay in his State Music video tribute mashable cnet apple"
"irrelevant","Ehhhh yOO Diiqooo lO que quiierooo xk es Miii Twitter"
"neutral","RT HersheyTech tomcastiglia and sharepointony now presenting on SharePoint upgrade planning at our SharePoint ECM Summit at the M"
"positive","Apple sells million iPhones in days apple keep doing what you are doing because you are doing it well"
"positive","Very nice trivia game by Google Helps you use their search better fb"
"irrelevant","GoogleAmazon google amazon"
"negative","Yellowgate Some iPhone S Users Complain of Yellow Tint to Screen apple iphones"
"neutral","Android Google Whats New in Ice Cream Sandwich Android DhilipSiva"
"irrelevant","EddDarkfawn Eso digo yo pa estar uno emboltijado viendo pelis de terror y no bajando los canastos en Twitter ajajajajaja"
"negative","RT leiboaz Wow worst apple customer service experience ever Arrogant and inept Bad combo Biltmore Apple store"
"neutral","Chrome Experiment WebGL Bookcase Google"
"irrelevant","gtgt Google BuzzGoogle google buzz"
"neutral","iancollinsuk Apple whats incredible is that people still buy into apple as world beatersnot true anymore"
"irrelevant","Que buenas frases que hay en twitter me parece que voy a hacer un libro jaja"
"neutral","Google updates Nexus site with Galaxy Nexus details android google"
"irrelevant","Google y Samsung presentan NexusGalaxy el Android ms potente del mercado y el primero en llevar el nuevo I"
